District,Year,Forecasted_Price
福田区,2022,126130
福田区,2023,136759
福田区,2024,147875
福田区,2025,159418
福田区,2026,171395
罗湖区,2022,98791
罗湖区,2023,108356
罗湖区,2024,117921
罗湖区,2025,127486
罗湖区,2026,137051
盐田区,2022,58075
盐田区,2023,61007
盐田区,2024,63303
盐田区,2025,65793
盐田区,2026,68224
南山区,2022,112193
南山区,2023,116880
南山区,2024,121567
南山区,2025,126254
南山区,2026,130941
宝安区,2022,68315
宝安区,2023,71151
宝安区,2024,73988
宝安区,2025,76824
宝安区,2026,79661
龙岗区,2022,46811
龙岗区,2023,48715
龙岗区,2024,50618
龙岗区,2025,52522
龙岗区,2026,54425
龙华区,2022,59687
龙华区,2023,56956
龙华区,2024,55303
龙华区,2025,54302
龙华区,2026,53695
坪山区,2022,38991
坪山区,2023,37954
坪山区,2024,36944
坪山区,2025,35962
坪山区,2026,35006
光明新区,2022,49830
光明新区,2023,48798
光明新区,2024,47788
光明新区,2025,46798
光明新区,2026,45830
大鹏新区,2022,30551
大鹏新区,2023,30551
大鹏新区,2024,30551
大鹏新区,2025,30551
大鹏新区,2026,30551
